filename,accent_group,speaker_type,true_transcript,true_intent,duration
us_000.mp3,US,native,down below in the darkness were hundreds of people sleeping in peace,report_outage,0
us_001.mp3,US,native,down below in the darkness were hundreds of people sleeping in peace,report_outage,0
england_000.mp3,England,native,this was the strangest of all things that ever came to earth from outer space,unknown,0
us_002.mp3,US,native,it was glaringly hot not a cloud in the sky nor a breath of wind,unknown,0
england_001.mp3,England,native,i'm going away he said,unknown,0
england_002.mp3,England,native,some of the grey ash was falling off the circular edge,unknown,0
england_003.mp3,England,native,you'll take fifty and like it,unknown,0
african_000.mp3,African,ESL,if i had told you you wouldn't have seen the pyramids,unknown,0
india_000.mp3,India,ESL,i told him we could teach her to ignore people who waste her time,unknown,0
us_003.mp3,US,native,henderson stood up with a spade in his hand,unknown,0
us_004.mp3,US,native,he didn't need to seek out the old woman for this,unknown,0
canadian_000.mp3,Canadian,native,only a minority of literature is written this way,unknown,0
us_005.mp3,US,native,i wish you wouldn't,unknown,0
us_006.mp3,US,native,don't do it for me,unknown,0
england_004.mp3,England,native,i'm not working for any other paper,report_outage,0
us_007.mp3,US,native,now i will drift gently off to dreamland,unknown,0
canadian_001.mp3,Canadian,native,he did find it soon after dawn and not far from the sand pits,unknown,0
us_008.mp3,US,native,shakespeare never said that,unknown,0
us_009.mp3,US,native,frank was dying so they were forced to leave him,unknown,0
us_010.mp3,US,native,the boy reminded the old man that he had said something about hidden treasure,unknown,0
india_001.mp3,India,ESL,don't point the gun at me,unknown,0
england_005.mp3,England,native,he's the man the ads are written for,unknown,0
england_006.mp3,England,native,there was no excuse for goodman to fly off the handle,unknown,0
us_011.mp3,US,native,i told you to have the ice box fixed,unknown,0
india_002.mp3,India,ESL,but finally the merchant appeared and asked the boy to shear four sheep,unknown,0
england_007.mp3,England,native,most meteorites are more or less rounded,unknown,0
canadian_002.mp3,Canadian,native,it's candice now on long distance from washington,unknown,0
england_008.mp3,England,native,he could always go back to being a shepherd,unknown,0
us_012.mp3,US,native,do you know what,unknown,0
england_009.mp3,England,native,their faces were hidden behind blue veils with only their eyes showing,unknown,0
england_010.mp3,England,native,he remembered something his grandfather had once told him that butterflies were a good omen,unknown,0
us_013.mp3,US,native,even then he hardly understood what this meant,unknown,0
india_003.mp3,India,ESL,after the dictator's rule of fourty three years was over the country was devastated,unknown,0
england_011.mp3,England,native,all they ever do really is look for food and water,unknown,0
canadian_003.mp3,Canadian,native,sure you don't want me to go in with you,unknown,0
us_014.mp3,US,native,i want it as soon as possible,unknown,0
us_015.mp3,US,native,modern sewing machines can throttle their speed,unknown,0
us_016.mp3,US,native,it's as much my fault as yours,unknown,0
us_017.mp3,US,native,you don't deny that,unknown,0
us_018.mp3,US,native,then he sat in the sunfilled doorway smoking the hookah,unknown,0
us_019.mp3,US,native,about eleven i walked back to my home in maybury because nothing seemed to be happening,unknown,0
canadian_004.mp3,Canadian,native,from here on you will be alone the alchemist said,unknown,0
india_004.mp3,India,ESL,on our way to san francisco we were listening to reggae music and smoking weed,unknown,0
india_005.mp3,India,ESL,work for somebody else,unknown,0
england_012.mp3,England,native,this is no place for you,unknown,0
england_013.mp3,England,native,it was the first time either had touched the other,unknown,0
england_014.mp3,England,native,then connect to localhost within windows,unknown,0
